"";"plot";"x_quadrat";"y_quadrat";"tree_ID";"Statut";"genus";"species";"planting_date";"banana";"panicum";"cedrela";"cover";"delay"
"1";1;"0";"0";"1_1";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"2";1;"0";"3,5";"1_2";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"3";1;"0";"7";"1_3";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"4";1;"0";"10,5";"1_4";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"5";1;"0";"14";"1_5";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"6";1;"0";"17,5";"1_6";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"7";1;"0";"21";"1_7";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"8";1;"0";"24,5";"1_8";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"9";1;"0";"28";"1_9";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"10";1;"0";"31,5";"1_10";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"11";1;"0";"35";"1_11";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"12";1;"0";"38,5";"1_12";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"13";1;"0";"42";"1_13";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"14";1;"0";"45,5";"1_14";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"15";1;"0";"49";"1_15";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"16";1;"0";"52,5";"1_16";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"17";1;"0";"56";"1_17";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"18";1;"0";"59,5";"1_18";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"19";1;"0";"63";"1_19";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"20";1;"0";"66,5";"1_20";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"21";1;"0";"70";"1_21";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"22";1;"3,5";"0";"1_22";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"23";1;"3,5";"3,5";"1_23";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"24";1;"3,5";"7";"1_24";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"25";1;"3,5";"10,5";"1_25";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"26";1;"3,5";"14";"1_26";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"27";1;"3,5";"17,5";"1_27";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"28";1;"3,5";"21";"1_28";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"29";1;"3,5";"24,5";"1_29";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"30";1;"3,5";"28";"1_30";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"31";1;"3,5";"31,5";"1_31";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"32";1;"3,5";"35";"1_32";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"33";1;"3,5";"38,5";"1_33";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"34";1;"3,5";"42";"1_34";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"35";1;"3,5";"45,5";"1_35";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"36";1;"3,5";"49";"1_36";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"37";1;"3,5";"52,5";"1_37";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"38";1;"3,5";"56";"1_38";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"39";1;"3,5";"59,5";"1_39";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"40";1;"3,5";"63";"1_40";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"41";1;"3,5";"66,5";"1_41";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"42";1;"3,5";"70";"1_42";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"43";1;"7";"0";"1_43";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"44";1;"7";"3,5";"1_44";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"45";1;"7";"7";"1_45";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"46";1;"7";"10,5";"1_46";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"47";1;"7";"14";"1_47";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"48";1;"7";"17,5";"1_48";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"49";1;"7";"21";"1_49";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"50";1;"7";"24,5";"1_50";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"51";1;"7";"28";"1_51";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"52";1;"7";"31,5";"1_52";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"53";1;"7";"35";"1_53";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"54";1;"7";"38,5";"1_54";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"55";1;"7";"42";"1_55";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"56";1;"7";"45,5";"1_56";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"57";1;"7";"49";"1_57";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"58";1;"7";"52,5";"1_58";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"59";1;"7";"56";"1_59";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"60";1;"7";"59,5";"1_60";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"61";1;"7";"63";"1_61";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"62";1;"7";"66,5";"1_62";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"63";1;"7";"70";"1_63";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"64";1;"10,5";"0";"1_64";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"65";1;"10,5";"3,5";"1_65";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"66";1;"10,5";"7";"1_66";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"67";1;"10,5";"10,5";"1_67";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"68";1;"10,5";"14";"1_68";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"69";1;"10,5";"17,5";"1_69";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"70";1;"10,5";"21";"1_70";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"71";1;"10,5";"24,5";"1_71";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"72";1;"10,5";"28";"1_72";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"73";1;"10,5";"31,5";"1_73";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"74";1;"10,5";"35";"1_74";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"75";1;"10,5";"38,5";"1_75";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"76";1;"10,5";"42";"1_76";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"77";1;"10,5";"45,5";"1_77";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"78";1;"10,5";"49";"1_78";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"79";1;"10,5";"52,5";"1_79";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"80";1;"10,5";"56";"1_80";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"81";1;"10,5";"59,5";"1_81";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"82";1;"10,5";"63";"1_82";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"83";1;"10,5";"66,5";"1_83";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"84";1;"10,5";"70";"1_84";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"85";1;"14";"0";"1_85";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"86";1;"14";"3,5";"1_86";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"87";1;"14";"7";"1_87";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"88";1;"14";"10,5";"1_88";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"89";1;"14";"14";"1_89";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"90";1;"14";"17,5";"1_90";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"91";1;"14";"21";"1_91";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"92";1;"14";"24,5";"1_92";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"93";1;"14";"28";"1_93";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"94";1;"14";"31,5";"1_94";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"95";1;"14";"35";"1_95";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"96";1;"14";"38,5";"1_96";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"97";1;"14";"42";"1_97";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"98";1;"14";"45,5";"1_98";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"99";1;"14";"49";"1_99";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"100";1;"14";"52,5";"1_100";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"101";1;"14";"56";"1_101";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"102";1;"14";"59,5";"1_102";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"103";1;"14";"63";"1_103";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"104";1;"14";"66,5";"1_104";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"105";1;"14";"70";"1_105";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"106";1;"17,5";"0";"1_106";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"107";1;"17,5";"3,5";"1_107";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"108";1;"17,5";"7";"1_108";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"109";1;"17,5";"10,5";"1_109";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"110";1;"17,5";"14";"1_110";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"111";1;"17,5";"17,5";"1_111";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"112";1;"17,5";"21";"1_112";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"113";1;"17,5";"24,5";"1_113";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"114";1;"17,5";"28";"1_114";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"115";1;"17,5";"31,5";"1_115";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"116";1;"17,5";"35";"1_116";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"117";1;"17,5";"38,5";"1_117";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"118";1;"17,5";"42";"1_118";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"119";1;"17,5";"45,5";"1_119";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"120";1;"17,5";"49";"1_120";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"121";1;"17,5";"52,5";"1_121";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"122";1;"17,5";"56";"1_122";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"123";1;"17,5";"59,5";"1_123";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"124";1;"17,5";"63";"1_124";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"125";1;"17,5";"66,5";"1_125";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"126";1;"17,5";"70";"1_126";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"127";1;"21";"0";"1_127";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"128";1;"21";"3,5";"1_128";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"129";1;"21";"7";"1_129";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"130";1;"21";"10,5";"1_130";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"131";1;"21";"14";"1_131";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"132";1;"21";"17,5";"1_132";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"133";1;"21";"21";"1_133";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"134";1;"21";"24,5";"1_134";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"135";1;"21";"28";"1_135";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"136";1;"21";"31,5";"1_136";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"137";1;"21";"35";"1_137";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"138";1;"21";"38,5";"1_138";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"139";1;"21";"42";"1_139";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"140";1;"21";"45,5";"1_140";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"141";1;"21";"49";"1_141";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"142";1;"21";"52,5";"1_142";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"143";1;"21";"56";"1_143";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"144";1;"21";"59,5";"1_144";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"145";1;"21";"63";"1_145";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"146";1;"21";"66,5";"1_146";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"147";1;"21";"70";"1_147";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"148";1;"24,5";"0";"1_148";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"149";1;"24,5";"3,5";"1_149";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"150";1;"24,5";"7";"1_150";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"151";1;"24,5";"10,5";"1_151";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"152";1;"24,5";"14";"1_152";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"153";1;"24,5";"17,5";"1_153";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"154";1;"24,5";"21";"1_154";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"155";1;"24,5";"24,5";"1_155";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"156";1;"24,5";"28";"1_156";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"157";1;"24,5";"31,5";"1_157";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"158";1;"24,5";"35";"1_158";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"159";1;"24,5";"38,5";"1_159";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"160";1;"24,5";"42";"1_160";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"161";1;"24,5";"45,5";"1_161";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"162";1;"24,5";"49";"1_162";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"163";1;"24,5";"52,5";"1_163";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"164";1;"24,5";"56";"1_164";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"165";1;"24,5";"59,5";"1_165";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"166";1;"24,5";"63";"1_166";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"167";1;"24,5";"66,5";"1_167";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"168";1;"24,5";"70";"1_168";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
